Opening,Opening.1,Title,Director,Cast,Production,Unnamed: 6,Studio,Ref,Casta
M A R,11.0,Clap,Prithivi Adithya,"Aadhi Pinisetty, Aakanksha Singh, Nassar, Prakash Raj",Big Print Pictures,[49],,,
M A R,11.0,Maaran,Karthick Naren,"Dhanush, Malavika Mohanan, Samuthirakani",Sathya Jyothi Films,[50],,,
M A R,18.0,Kallan,Chandra Thangaraj,"Karu Palaniappan, Nikita, Maya Chandran",Etcetera Entertainment,[51],,,
M A R,18.0,Kuthiraivaal,Manoj-Shyam,"Kalaiyarasan, Anjali Patil, Chetan",Neelam Productions,[52],,,
M A R,18.0,Yutha Satham,Ezhil,"R. Parthiban, Gautham Karthik, Saipriya Deva",Kallal Global Entertainment,[53],,,
M A R,25.0,Achcham Madam Naanam Payirppu,Raja Ramamurthy,"Akshara Haasan, Usha Uthup, Anjana Jayaprakash",Trendloud,[54],,,
A P R,1.0,Idiot,Rambhala,"Shiva, Nikki Galrani, Akshara Gowda",,,Screen Scene Media,[55],
A P R,1.0,Manmadha Leelai,Venkat Prabhu,"Ashok Selvan, Samyuktha Hegde, Smruthi Venkat, Riya Suman",,,Rockfort Entertainment,[56],
A P R,1.0,Poo Sandi Varan,JK Wicky,"""Mirchi"" Ramana, Logan Nathan, Tinesh Sarathi Krishnan",,,Vellithirai Talkies,[57],
A P R,1.0,Selfie,Mathi Maran,"G. V. Prakash Kumar, Gautham Vasudev Menon, Varsha Bollamma",,,DG Film Company,[58],
A P R,8.0,Taanakkaran,Tamizh,"Vikram Prabhu, Anjali Nair, Lal",,,Potential Studios,[59],
A P R,13.0,Beast,Nelson,"Vijay, Pooja Hegde, Selvaraghavan",,,Sun Pictures,[60],
A P R,14.0,Kuttram Kuttrame,Suseenthiran,"Jai, Bharathiraja, Dhivya Duraisamy, Harish Uthaman",,,D Company,[61],
