Opening,Opening.1,Title,Director,Cast,Genre,Producer,Ref
O C T,30,Viraivil Isai,V. S. Praba,"Mahendran, Dhilip Roger, Sruthi Ramakrishnan, Arppana Prabhu",Drama,Thirumaruthi Pictures,[74]
N O V,6,Iniya Ulavaga,J. Srinivasan,"Prabhu Saravanan, Kalki",Romance,Badhrakaliamman Films,[75]
N O V,6,Kring Kring,Rahul,"Rohan, Kavya",Crime thriller,RPM Cinemas,[75]
N O V,6,Uyirvarai Iniththaai,K.S.Thurai,"Vashanth Sellathurai, Narvini Dery",Romantic drama,Aprodigi Productions,[75]
N O V,10,Injimarappa,Saga,"Sri Balaji, Sony Charishta",Romantic drama,Blue Hills Production,[76]
N O V,10,Thoongaa Vanam,Rajesh M. Selva,"Kamal Haasan, Prakash Raj, Trisha, Kishore, Sampath Raj",Crime thriller,"Raaj Kamal Films International, Gokulam Films",[77]
N O V,10,Vedalam,Siva,"Ajith Kumar, Shruti Haasan, Lakshmi Menon",Action masala,Shri Sai Raam Creations,[78]
N O V,20,Oru Naal Iravil,Anthony,"Sathyaraj, Yugi Sethu, Varun, Anumol, Kalyani Natarajan",Thriller drama,Think Big Studios,[79]
N O V,20,Aaranyam,Kuberji,"Ram, Neeraja",Drama,Aaha Oho Productions,[79]
N O V,27,144,G. Manikandan,"Shiva, Ashok Selvan, Oviya, Sruthi Ramakrishnan",Comedy,Thirukumaran Entertainment Abi & Abi Studios,[80]
N O V,27,Inji Iduppazhagi,Prakash Kovelamudi,"Anushka Shetty, Arya, Sonal Chauhan",Romantic comedy,PVP Cinema,[80]
N O V,27,Uppu Karuvaadu,Radha Mohan,"Nandita, Karunakaran, Narayan",Comedy drama,First Copy Pictures Night Show Pictures,[80]
D E C,4,Urumeen,Sakthivel Perumalsamy,"Bobby Simha, Kalaiyarasan, Reshmi Menon",Action thriller,Axess Film Factory,[81]
D E C,11,Eetti,Ravi Arasu,"Adharvaa, Sri Divya, Jayaprakash",Action,Global Infotainment Pvt. Ltd,[82]
D E C,11,Thiruttu Rail,Thirupathi,"Rakshan, Charan Selvam, Cathy",Action drama,SSS Movies,[82]
D E C,18,Thanga Magan,Velraj,"Dhanush, Samantha, Amy Jackson",Family drama,Wunderbar Films Gopuram Films,[83]
D E C,24,Bhooloham,N. Kalyanakrishnan,"Jayam Ravi, Trisha, Nathan Jones",Sports drama,Aascar Films,
D E C,24,Pasanga 2,Pandiraj,"Suriya, Amala Paul, Bindu Madhavi, Karthik Kumar",Comedy drama,2D Entertainment,[84]
D E C,24,Vellaiya Irukiravan Poi Solla Maatan,A. L. Abanindran,"Praveen Kumar, Shalini Vadnikatti, Sanam Shetty, Karthik Kumar",Comedy drama,Ignite Films,
