Opening,Opening.1,Title,Director,Cast,Genre,Producer,Ref,Production Studio
N O V,21.0,Chinnan Chiriya Vanna Paravai,Vijayan,"Ashwin Kumar, Anu Krishna",Romance,,[56],NKP Productions
N O V,21.0,Kaadu,Stalin Ramalingam,"Vidharth, Samskruthy Shenoy, Samuthirakani",Drama,,[56],Chakravarthy Films International
N O V,21.0,Naaigal Jaakirathai,Shakti Soundar Rajan,"Sibiraj, Arundhati, Balaji Venugopal",Thriller,,[56],Nathambal Film Factory
N O V,21.0,Vanmam,Jaikrishna,"Vijay Sethupathi, Kreshna, Sunaina",Action drama,,[56],Nemichand Jhabak Productions
N O V,21.0,Vizhi Moodi Yosithaal,K. G. Senthil Kumar,"K. G. Senthil Kumar, Nikita",Sci-Fi Romantic Thriller,,[56],Twister Films
N O V,28.0,Aaaah,Hari-Hareesh,"Gokulnath, Meghna, Bala Saravanan, Bobby Simha",Horror,,[57],"KTVR Creative Frames, Shankar Bros"
N O V,28.0,Kaaviya Thalaivan,Vasanthabalan,"Siddharth, Prithviraj, Vedhicka, Anaika Soti",Historical fiction,,[57],"YNOT Studios, Radiance Media Group"
N O V,28.0,Mosakutty,M. Jeevan,"Veera, Mahima Nambiar, Pasupathy",Romance,,[57],Shalom Studios
N O V,28.0,Velmurugan Borewells,M. P. Gopi,"Mahesh, Aarushi, Ganja Karuppu",Comedy,,[57],Tharun Kaanth Film Factory
N O V,28.0,Vingyani,Paarthi,"Paarthi, Meera Jasmine, Vivek, Sanjana Singh",Science-fiction thriller,,[57],Paarthis Pictures
D E C,5.0,1 Pandhu 4 Run 1 Wicket,Veera,"Vinay Krishna, Hashika, Lollu Sabha Jeeva",Horror,,[58],Rising Sun Films
D E C,5.0,13 Am Pakkam Parkka,Pughazhmani,"Ramji, Sri Priyanka, Rathan Mouli, Sriram Karthik",Horror,,[58],RVK Film Media
D E C,5.0,Azhagiya Pandipuram,N. Rayan,"Elango Nagarajah, Anjena Kirti",Romance,,[58],Thaimann Production
D E C,5.0,Manam Konda Kadhal,Pugazhenthi Raj,"Muthuram, Nofiya, Shriya",Romance,,[58],Rithish Harish Movies
D E C,5.0,Naangellam Edagoodum,R. Vijayakumar,"Manoj Devadas, Parvathi Suresh, Visakar Selvamani, Hensa",Drama,,[58],Kurundhudayar Production
D E C,5.0,Pagadai Pagadai,Sasi Shanker,"Dileep Kumar, Divya Singh, Richu Singh",Romance,,[58],Wisdom Films
D E C,5.0,Ra,Prabu Yuvaraj,"Ashraf, Aditi Chengappa",Fantasy thriller,,[58],Plan A Studios
D E C,12.0,Innuma Nammala Namburanga,S. R. Balaji,"Sudhagar, Thiruveni",Romance,,,Aniloops Production
D E C,12.0,Lingaa,K. S. Ravikumar,"Rajinikanth, Anushka Shetty, Sonakshi Sinha",Action,,,Rockline Entertainments
D E C,12.0,Yaaro Oruvan,K. N. Baiju,"Ram, Suresh Naran, Manavram, Alisha",Thriller,,,Navagraha Cine Arts
D E C,19.0,Nadodi Paravai,T Vijaya Ragava Chakravarthi,"Tharun, Sri Ragavi",Drama,,[59],Dhanam Pictures
D E C,19.0,Natpin Nooram Naal,Raja Desingu,"Vijaya Chiranjeevi, Saina",Crime thriller,,[59],Sree Vetrivel Film Academy
D E C,19.0,Pisaasu,Mysskin,"Naga, Prayaga Martin, Harish Uthaman",Horror,,[59],B Studios
D E C,19.0,Sutrula,V. Rajesh,"Richard, Mithun, Srija, Prajin, Ankitha, Sandra Amy",Thriller,,[59],Purple Vision
D E C,25.0,Endrume Anandham,Vivekabarathi,"Mahendran, Bharathi Kannan, Swetha",Drama,,[60],Narkavi Talkies
D E C,25.0,Kappal,Karthik Krish,"Vaibhav, Sonam Bajwa, Karunakaran",Comedy,,[60],S Pictures
D E C,25.0,Kayal,Prabhu Solomon,"Chandran, Anandhi, Vincent",Romantic,,[60],Escape Artists Motion Pictures
D E C,25.0,Meaghamann,Magizh Thirumeni,"Arya, Hansika Motwani, Sudhanshu Pandey",Action Drama,,[60],Nemichand Jhabak Productions
D E C,25.0,Vellaikaara Durai,Ezhil,"Vikram Prabhu, Sri Divya",Comedy,,[60],Gopuram Films
D E C,26.0,Pesadha Padam,Aadhavan,"Abirooban, Bharathi",Romance,,[60],Miracle Cinemas
D E C,,,,,,,,
D E C,,,,,,,,
